Date : 2024-01-17 17:25:04
Directory : c:\Users\msi\source\repos\LearnOpenGL
Total : 774 files,  143623 codes, 44823 comments, 27635 blanks, all 216081 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtc\type_precision.inl                        | C++         |          3 |          1 |          3 |          7 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtc\type_ptr.hpp                              | C++         |         89 |        102 |         40 |        231 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtc\type_ptr.inl                              | C++         |        320 |          4 |         63 |        387 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtc\ulp.hpp                                   | C++         |         38 |         95 |         20 |        153 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtc\ulp.inl                                   | C++         |        150 |          1 |         23 |        174 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtc\vec1.hpp                                  | C++         |         14 |         12 |          5 |         31 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\associated_min_max.hpp                    | C++         |        119 |         60 |         29 |        208 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\associated_min_max.inl                    | C++         |        310 |         19 |         26 |        355 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\bit.hpp                                   | C++         |         31 |         50 |         18 |         99 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\bit.inl                                   | C++         |         64 |         11 |         18 |         93 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\closest_point.hpp                         | C++         |         23 |         18 |          9 |         50 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\closest_point.inl                         | C++         |         35 |          3 |          8 |         46 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\color_encoding.hpp                        | C++         |         24 |         20 |         11 |         55 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\color_encoding.inl                        | C++         |         35 |          1 |         10 |         46 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\color_space.hpp                           | C++         |         33 |         27 |         13 |         73 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\color_space.inl                           | C++         |        117 |          7 |         18 |        142 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\color_space_YCoCg.hpp                     | C++         |         25 |         25 |         11 |         61 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\color_space_YCoCg.inl                     | C++         |         98 |          1 |          9 |        108 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\common.hpp                                | C++         |         24 |         42 |         11 |         77 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\common.inl                                | C++         |        105 |          2 |         19 |        126 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\compatibility.hpp                         | C++         |         98 |         15 |         21 |        134 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\compatibility.inl                         | C++         |         55 |          1 |          7 |         63 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\component_wise.hpp                        | C++         |         26 |         31 |         13 |         70 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\component_wise.inl                        | C++         |        109 |          1 |         18 |        128 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\dual_quaternion.hpp                       | C++         |        121 |         89 |         65 |        275 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\dual_quaternion.inl                       | C++         |        286 |         12 |         55 |        353 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\easing.hpp                                | C++         |         82 |         97 |         41 |        220 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\easing.inl                                | C++         |        334 |         32 |         71 |        437 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\euler_angles.hpp                          | C++         |        188 |        100 |         48 |        336 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\euler_angles.inl                          | C++         |        833 |          1 |         66 |        900 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\extend.hpp                                | C++         |         18 |         17 |          8 |         43 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\extend.inl                                | C++         |         43 |          1 |          5 |         49 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\extended_min_max.hpp                      | C++         |         80 |         39 |         19 |        138 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\extended_min_max.inl                      | C++         |        125 |          1 |         13 |        139 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\exterior_product.hpp                      | C++         |         16 |         22 |          8 |         46 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\exterior_product.inl                      | C++         |         20 |          1 |          6 |         27 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\fast_exponential.hpp                      | C++         |         37 |         40 |         19 |         96 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\fast_exponential.inl                      | C++         |         73 |         50 |         14 |        137 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\fast_square_root.hpp                      | C++         |         33 |         44 |         16 |         93 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\fast_square_root.inl                      | C++         |         56 |          6 |         14 |         76 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\fast_trigonometry.hpp                     | C++         |         29 |         36 |         15 |         80 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\fast_trigonometry.inl                     | C++         |        113 |          8 |         22 |        143 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\float_notmalize.inl                       | C++         |          9 |          1 |          4 |         14 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\functions.hpp                             | C++         |         25 |         22 |         10 |         57 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\functions.inl                             | C++         |         25 |          1 |          5 |         31 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\gradient_paint.hpp                        | C++         |         25 |         20 |          9 |         54 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\gradient_paint.inl                        | C++         |         32 |          1 |          4 |         37 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\handed_coordinate_space.hpp               | C++         |         23 |         19 |          9 |         51 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\handed_coordinate_space.inl               | C++         |         23 |          1 |          3 |         27 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\hash.hpp                                  | C++         |        106 |         11 |         26 |        143 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\hash.inl                                  | C++         |        158 |         10 |         17 |        185 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\integer.hpp                               | C++         |         25 |         35 |         17 |         77 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\integer.inl                               | C++         |        131 |         25 |         30 |        186 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\intersect.hpp                             | C++         |         49 |         31 |         13 |         93 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\intersect.inl                             | C++         |        156 |         13 |         32 |        201 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\io.hpp                                    | C++         |        138 |         23 |         41 |        202 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\io.inl                                    | C++         |        367 |          2 |         72 |        441 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\log_base.hpp                              | C++         |         21 |         19 |          9 |         49 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\log_base.inl                              | C++         |         13 |          1 |          3 |         17 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_cross_product.hpp                  | C++         |         19 |         20 |          9 |         48 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_cross_product.inl                  | C++         |         33 |          1 |          4 |         38 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_decompose.hpp                      | C++         |         22 |         17 |          8 |         47 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_decompose.inl                      | C++         |        113 |         42 |         32 |        187 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_factorisation.hpp                  | C++         |         21 |         37 |         12 |         70 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_factorisation.inl                  | C++         |         53 |         17 |         15 |         85 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_interpolation.hpp                  | C++         |         25 |         25 |         11 |         61 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_interpolation.inl                  | C++         |        121 |          1 |          8 |        130 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_major_storage.hpp                  | C++         |         61 |         40 |         19 |        120 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_major_storage.inl                  | C++         |        153 |          1 |         13 |        167 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_operation.hpp                      | C++         |         46 |         39 |         19 |        104 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_operation.inl                      | C++         |        156 |          1 |         20 |        177 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_query.hpp                          | C++         |         31 |         32 |         15 |         78 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_query.inl                          | C++         |        103 |          1 |         10 |        114 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_transform_2d.hpp                   | C++         |         34 |         36 |         12 |         82 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\matrix_transform_2d.inl                   | C++         |         56 |          2 |         11 |         69 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\mixed_product.hpp                         | C++         |         18 |         16 |          8 |         42 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\mixed_product.inl                         | C++         |         13 |          1 |          2 |         16 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\norm.hpp                                  | C++         |         35 |         37 |         17 |         89 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\norm.inl                                  | C++         |         79 |          1 |         16 |         96 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\normal.hpp                                | C++         |         15 |         19 |          8 |         42 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\normal.inl                                | C++         |         13 |          1 |          2 |         16 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\normalize_dot.hpp                         | C++         |         17 |         24 |          9 |         50 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\normalize_dot.inl                         | C++         |         13 |          1 |          3 |         17 |
| c:\Users\msi\source\repos\LearnOpenGL\include\glm\gtx\number_precision.hpp                      | C++         |         26 |         23 |         13 |         62 |
